addr_full,brand,brand_wikidata,city,country,email,extras,housenumber,lat,lon,name,opening_hours,phone,postcode,ref,state,store_url,street,website
"KÁLLÓI U. 12., KISLÉTA, Magyarország, 4325",COOP,,KISLÉTA,Magyarország,,{'@spider': 'coop_dac'},,47.8356432,22.0028319,87. SZ. VEGYESBOLT,,,4325,1002007,,https://coop.hu/uzlet/1002007,,https://coop.hu/
"KOSSUTH U.1., KISLŐD, Magyarország, 8446",COOP,,KISLŐD,Magyarország,,{'@spider': 'coop_dac'},,47.1446959,17.6202985,MANNA ABC,,,8446,1046411,,https://coop.hu/uzlet/1046411,,https://coop.hu/
"SZABADSÁG ÚT 1., KISNÁNA, Magyarország, 3264",COOP,,KISNÁNA,Magyarország,,{'@spider': 'coop_dac'},,47.8520235,20.1466928,35.SZ. COOP ABC,,,3264,1032667,,https://coop.hu/uzlet/1032667,,https://coop.hu/
"SZÉCHENYI U. 104., KISOROSZI, Magyarország, 2024",COOP,,KISOROSZI,Magyarország,,{'@spider': 'coop_dac'},,47.8011423,19.0449823,392.SZ. COOP ABC KISOROSZI,,,2024,1041821,,https://coop.hu/uzlet/1041821,,https://coop.hu/
"KOSSUTH U. 74., KISSZEKERES, Magyarország, 4963",COOP,,KISSZEKERES,Magyarország,,{'@spider': 'coop_dac'},,47.9737294,22.6354496,72.SZ. ÉLELMISZER,,,4963,1002480,,https://coop.hu/uzlet/1002480,,https://coop.hu/
"SZÉCHENYI U. 118., KISTOKAJ, Magyarország, 3553",COOP,,KISTOKAJ,Magyarország,,{'@spider': 'coop_dac'},,48.040609,20.839029,740. SZ. ABC,,,3553,1008797,,https://coop.hu/uzlet/1008797,,https://coop.hu/
"SZABADSÁG U. 2/A., KISÚJSZÁLLÁS, Magyarország, 5310",COOP,,KISÚJSZÁLLÁS,Magyarország,,{'@spider': 'coop_dac'},,47.2172617,20.757592,561. SZ. COOP SZUPER KISÚJSZÁLLÁS,,,5310,1009404,,https://coop.hu/uzlet/1009404,,https://coop.hu/
"MÁRTÍROK U. 7., KISVÁRDA, Magyarország, 4600",COOP,,KISVÁRDA,Magyarország,,{'@spider': 'coop_dac'},,48.2240605,22.0828152,3. SZ. ABC,,,4600,1006366,,https://coop.hu/uzlet/1006366,,https://coop.hu/
"SZENT L. U. 15., KISVÁRDA, Magyarország, 4600",COOP,,KISVÁRDA,Magyarország,,{'@spider': 'coop_dac'},,48.2230908,22.079032,1. SZ. SZABOLCS ÁRUHÁZ,,,4600,1002265,,https://coop.hu/uzlet/1002265,,https://coop.hu/
"PETŐFI SÁNDOR U. 26., KISZOMBOR, Magyarország, 6775",COOP,,KISZOMBOR,Magyarország,,{'@spider': 'coop_dac'},,46.1773475,20.4171823,RÓKÓCZI ABC,,,6775,1007482,,https://coop.hu/uzlet/1007482,,https://coop.hu/
"SZEGEDI U. 1-3., KISZOMBOR, Magyarország, 6775",COOP,,KISZOMBOR,Magyarország,,{'@spider': 'coop_dac'},,46.1877449,20.4270823,4200.COOP ABC,,,6775,1001670,,https://coop.hu/uzlet/1001670,,https://coop.hu/
"KIS U. 4., KOCS, Magyarország, 2898",COOP,,KOCS,Magyarország,,{'@spider': 'coop_dac'},,47.60488,18.2143279,11. SZ. FORRÁS ÜZLET,,,2898,1006446,,https://coop.hu/uzlet/1006446,,https://coop.hu/
"ZRÍNYI U. 1., KOCSOLA, Magyarország, 7212",COOP,,KOCSOLA,Magyarország,,{'@spider': 'coop_dac'},,46.5288957,18.172212,261. SZ. COOP MINI ABC,,,7212,1043690,,https://coop.hu/uzlet/1043690,,https://coop.hu/
"SZENT ISTVÁN U.20-22., KOCSORD, Magyarország, 4751",COOP,,KOCSORD,Magyarország,,{'@spider': 'coop_dac'},,47.938488,22.382143,ABC KOCSORD,,,4751,1043882,,https://coop.hu/uzlet/1043882,,https://coop.hu/
"NAGYKÁTAI ÚT 9., KÓKA, Magyarország, 2243",COOP,,KÓKA,Magyarország,,{'@spider': 'coop_dac'},,47.488858,19.5822651,19. SZ. COOP SZUPER KÓKA,,,2243,1001840,,https://coop.hu/uzlet/1001840,,https://coop.hu/
"KOSSUTH U. 53., KOKAD, Magyarország, 4284",COOP,,KOKAD,Magyarország,,{'@spider': 'coop_dac'},,47.4054409,21.9336174,36. SZ. ABC,,,4284,1042635,,https://coop.hu/uzlet/1042635,,https://coop.hu/
"KOPPÁNYVEZÉR ÚT 134., KOMÁROM, Magyarország, 2900",COOP,,KOMÁROM,Magyarország,,{'@spider': 'coop_dac'},,47.7500105,18.0535941,101.SZ.MINI COOP,,,2900,1030133,,https://coop.hu/uzlet/1030133,,https://coop.hu/
"RÁKÓCZI ÚT 19., KOMLÓSKA, Magyarország, 3937",COOP,,KOMLÓSKA,Magyarország,,{'@spider': 'coop_dac'},,48.3406899,21.4623575,163.SZ.COOP ABC,,,3937,1036823,,https://coop.hu/uzlet/1036823,,https://coop.hu/
"KÁPOLNAI ÚT 2/C., KOMPOLT, Magyarország, 3356",COOP,,KOMPOLT,Magyarország,,{'@spider': 'coop_dac'},,47.744402,20.253016,12.SZ. COOP SZUPER,,,3356,1039751,,https://coop.hu/uzlet/1039751,,https://coop.hu/
"RÁKÓCZI U. 7., KÓNY, Magyarország, 9144",COOP,,KÓNY,Magyarország,,{'@spider': 'coop_dac'},,47.630533,17.361083,10.SZ KÓNY FORRÁS-COOP ABC,,,9144,1021553,,https://coop.hu/uzlet/1021553,,https://coop.hu/
"SÓSTÓI U.67., KONYÁR, Magyarország, 4133",COOP,,KONYÁR,Magyarország,,{'@spider': 'coop_dac'},,47.320203,21.6732369,31. SZ. BOLT,,,4133,1042638,,https://coop.hu/uzlet/1042638,,https://coop.hu/
"NÁDALJAI U. 48/B, KÖRMEND, Magyarország, 9900",COOP,,KÖRMEND,Magyarország,,{'@spider': 'coop_dac'},,47.002029,16.5571431,10. SZ. ABC,,,9900,1003283,,https://coop.hu/uzlet/1003283,,https://coop.hu/
"RÁKÓCZI U. 8., KÖRMEND, Magyarország, 9900",COOP,,KÖRMEND,Magyarország,,{'@spider': 'coop_dac'},,47.0107284,16.6037966,201. SZ. BOLT,,,9900,1003286,,https://coop.hu/uzlet/1003286,,https://coop.hu/
"SOMOGYI B. U. 78/A., KÖRMEND, Magyarország, 9900",COOP,,KÖRMEND,Magyarország,,{'@spider': 'coop_dac'},,47.023211,16.6048789,206.SZ.KÖRMEND FORRÁS ABC,,,9900,1006474,,https://coop.hu/uzlet/1006474,,https://coop.hu/
"SZABADSÁG TÉR 3, KÖRMEND, Magyarország, 9900",COOP,,KÖRMEND,Magyarország,,{'@spider': 'coop_dac'},,47.0094537,16.6052266,2. SZ. ABC,,,9900,1003285,,https://coop.hu/uzlet/1003285,,https://coop.hu/
"VASÚTMELLÉK U. 9, KÖRMEND, Magyarország, 9900",COOP,,KÖRMEND,Magyarország,,{'@spider': 'coop_dac'},,47.0154693,16.5973181,7. SZ. ABC,,,9900,1003299,,https://coop.hu/uzlet/1003299,,https://coop.hu/
"PETŐFI U. 5., KÖRÖM, Magyarország, 3577",COOP,,KÖRÖM,Magyarország,,{'@spider': 'coop_dac'},,47.9842491,20.9545886,638. SZ. VEGYESBOLT,,,3577,1002410,,https://coop.hu/uzlet/1002410,,https://coop.hu/
"WESSWLÉNYI ÚT 2., KORONCÓ, Magyarország, 9113",COOP,,KORONCÓ,Magyarország,,{'@spider': 'coop_dac'},,47.5974454,17.5302381,738. SZ. COOP ABC,,,9113,1020768,,https://coop.hu/uzlet/1020768,,https://coop.hu/
"PETŐFI TÉR 11/2., KÖRÖSLADÁNY, Magyarország, 5516",COOP,,KÖRÖSLADÁNY,Magyarország,,{'@spider': 'coop_dac'},,46.9598254,21.0833364,764. COOP ABC KÖRÖSLADÁNY,,,5516,1026133,,https://coop.hu/uzlet/1026133,,https://coop.hu/
"VÁCI U. 2., KÓSPALLAG, Magyarország, 2625",COOP,,KÓSPALLAG,Magyarország,,{'@spider': 'coop_dac'},,47.8739187,18.9367256,ZÖLD PARADICSOM ABC,,,2625,1005322,,https://coop.hu/uzlet/1005322,,https://coop.hu/
"PÉK U. 20., KŐSZEG, Magyarország, 9730",COOP,,KŐSZEG,Magyarország,,{'@spider': 'coop_dac'},,47.392086,16.539152,128. SZ. FORRÁS KŐSZEG,,,9730,1003317,,https://coop.hu/uzlet/1003317,,https://coop.hu/
"RÁKÓCZI U. 4., KŐSZEG, Magyarország, 9730",COOP,,KŐSZEG,Magyarország,,{'@spider': 'coop_dac'},,47.3877165,16.5416304,ÉLELMISZERBOLT,,,9730,1019215,,https://coop.hu/uzlet/1019215,,https://coop.hu/
"ROHONCZI U. 37-39., KŐSZEG, Magyarország, 9730",COOP,,KŐSZEG,Magyarország,,{'@spider': 'coop_dac'},,47.3820427,16.5443117,126.SZ. FORRÁS,,,9730,1006453,,https://coop.hu/uzlet/1006453,,https://coop.hu/
"VÁRKÖR ÚT 20-22., KŐSZEG, Magyarország, 9730",COOP,,KŐSZEG,Magyarország,,{'@spider': 'coop_dac'},,47.389631,16.5429649,3. SZ. FORRÁS COOP ABC,,,9730,1028904,,https://coop.hu/uzlet/1028904,,https://coop.hu/
"KOSSUTH LAJOS UTCA 31., KÓTAJ, Magyarország, 4482",COOP,,KÓTAJ,Magyarország,,{'@spider': 'coop_dac'},,48.0479016,21.7083399,86. SZ.  NAPSUGÁR ABC,,,4482,1002189,,https://coop.hu/uzlet/1002189,,https://coop.hu/
